dataset,perc_valid_cf_all_dice,perc_valid_cf_all_dice_std,perc_valid_cf_all_dice_n,perc_valid_cf_all_dpg,perc_valid_cf_all_dpg_std,perc_valid_cf_all_dpg_n,perc_actionable_cf_all_dice,perc_actionable_cf_all_dice_std,perc_actionable_cf_all_dice_n,perc_actionable_cf_all_dpg,perc_actionable_cf_all_dpg_std,perc_actionable_cf_all_dpg_n,distance_mh_dice,distance_mh_dice_std,distance_mh_dice_n,distance_mh_dpg,distance_mh_dpg_std,distance_mh_dpg_n,avg_nbr_changes_dice,avg_nbr_changes_dice_std,avg_nbr_changes_dice_n,avg_nbr_changes_dpg,avg_nbr_changes_dpg_std,avg_nbr_changes_dpg_n,count_diversity_all_dice,count_diversity_all_dice_std,count_diversity_all_dice_n,count_diversity_all_dpg,count_diversity_all_dpg_std,count_diversity_all_dpg_n,accuracy_knn_sklearn_dice,accuracy_knn_sklearn_dice_std,accuracy_knn_sklearn_dice_n,accuracy_knn_sklearn_dpg,accuracy_knn_sklearn_dpg_std,accuracy_knn_sklearn_dpg_n,plausibility_nbr_cf_dice,plausibility_nbr_cf_dice_std,plausibility_nbr_cf_dice_n,plausibility_nbr_cf_dpg,plausibility_nbr_cf_dpg_std,plausibility_nbr_cf_dpg_n,runtime_dice,runtime_dice_std,runtime_dice_n,runtime_dpg,runtime_dpg_std,runtime_dpg_n
abalone,1.0,0,1,1.0,0,1,1.0,0,1,1.0,0,1,5.422854411520598,0,1,5.700617397354543,0,1,0.7,0,1,0.64,0,1,0.26,0,1,0.244,0,1,1.0,0,1,0.5,0,1,0.0,0,1,4.876760978400678,0,1,0.09200644493103027,0,1,7.798869986901991,0,1
bank_marketing,1.0,0,1,1.0,0,1,1.0,0,1,1.0,0,1,26.822563422080655,0,1,24.956218004755748,0,1,0.46,0,1,0.56,0,1,0.142,0,1,0.286,0,1,1.0,0,1,0.5,0,1,8.788638263339433,0,1,36.730841746286586,0,1,0.2172255516052246,0,1,67.05396195605863,0,1
customer_personality_analysis,1.0,0,1,1.0,0,1,1.0,0,1,1.0,0,1,39.39320111621615,0,1,7.048704746749236,0,1,0.4714285714285714,0,1,0.40714285714285714,0,1,0.20142857142857143,0,1,0.20142857142857143,0,1,0.7,0,1,0.7,0,1,3.3169140428476176,0,1,28.081436517188855,0,1,0.14574742317199707,0,1,19.14549988077488,0,1
diabetes,1.0,0,1,1.0,0,1,1.0,0,1,1.0,0,1,10.305998349317788,0,1,3.2104928855492183,0,1,0.675,0,1,0.675,0,1,0.26,0,1,0.295,0,1,0.8,0,1,0.6,0,1,5.751164130511239,0,1,6.055496515416389,0,1,0.08112740516662598,0,1,4.130602112505585,0,1
ecoli,1.0,0,1,1.0,0,1,1.0,0,1,1.0,0,1,8.443318759936407,0,1,8.14195908247982,0,1,0.6285714285714286,0,1,0.8,0,1,0.25142857142857145,0,1,0.2742857142857143,0,1,1.0,0,1,0.9,0,1,1.0169521829521826,0,1,2.959991460262015,0,1,1.1924114227294922,0,1,5.506705563166179,0,1
education_dataset,1.0,0,1,1.0,0,1,1.0,0,1,1.0,0,1,1.9561914374104743,0,1,2.3277551956237517,0,1,1.0,0,1,0.9333333333333332,0,1,0.4,0,1,0.4,0,1,0.6,0,1,0.5,0,1,8.52013288826146e-06,0,1,0.26722782240171733,0,1,0.08933734893798828,0,1,30.07534123095684,0,1
energy_dataset,1.0,0,1,1.0,0,1,1.0,0,1,1.0,0,1,1.659302037504347,0,1,1.2271411977511089,0,1,1.0,0,1,0.8666666666666667,0,1,0.4,0,1,0.24,0,1,0.4,0,1,0.9,0,1,5.481259610182457e-05,0,1,0.38695688831037806,0,1,0.07725405693054199,0,1,7.811909676995128,0,1
healthcare_dataset_stroke,1.0,0,1,1.0,0,1,1.0,0,1,1.0,0,1,10.309304551476597,0,1,6.676243294967611,0,1,0.5636363636363636,0,1,0.2,0,1,0.21454545454545457,0,1,0.08727272727272728,0,1,0.1,0,1,0.5,0,1,0.0,0,1,0.0,0,1,210.14079976081848,0,1,7.638030279544182,0,1
iris,1.0,0,1,1.0,0,1,1.0,0,1,1.0,0,1,5.537725948717949,0,1,4.885542523076922,0,1,0.95,0,1,0.75,0,1,0.4,0,1,0.3,0,1,0.5,0,1,0.5,0,1,3.564861128205127,0,1,1.8212472205128207,0,1,0.0834202766418457,0,1,3.379119864432141,0,1
isolet,1.0,0,1,1.0,0,1,1.0,0,1,1.0,0,1,512.9131236154144,0,1,517.4483999513752,0,1,0.880388978930308,0,1,0.5251215559157212,0,1,0.3526094003241491,0,1,0.16576985413290113,0,1,0.6,0,1,0.5,0,1,0.0,0,1,699.2364363789973,0,1,4.577476739883423,0,1,112.24190340039786,0,1
