Dataset,nbr_cf_DPG,nbr_cf_DiCE,nbr_valid_cf_DPG,nbr_valid_cf_DiCE,perc_valid_cf_DPG,perc_valid_cf_DiCE,perc_valid_cf_all_DPG,perc_valid_cf_all_DiCE,nbr_actionable_cf_DPG,nbr_actionable_cf_DiCE,perc_actionable_cf_DPG,perc_actionable_cf_DiCE,perc_actionable_cf_all_DPG,perc_actionable_cf_all_DiCE,nbr_valid_actionable_cf_DPG,nbr_valid_actionable_cf_DiCE,perc_valid_actionable_cf_DPG,perc_valid_actionable_cf_DiCE,perc_valid_actionable_cf_all_DPG,perc_valid_actionable_cf_all_DiCE,avg_nbr_violations_per_cf_DPG,avg_nbr_violations_per_cf_DiCE,avg_nbr_violations_DPG,avg_nbr_violations_DiCE,distance_l2_DPG,distance_l2_DiCE,distance_mad_DPG,distance_mad_DiCE,distance_j_DPG,distance_j_DiCE,distance_h_DPG,distance_h_DiCE,distance_l2j_DPG,distance_l2j_DiCE,distance_mh_DPG,distance_mh_DiCE,distance_l2_min_DPG,distance_l2_min_DiCE,distance_mad_min_DPG,distance_mad_min_DiCE,distance_j_min_DPG,distance_j_min_DiCE,distance_h_min_DPG,distance_h_min_DiCE,distance_l2j_min_DPG,distance_l2j_min_DiCE,distance_mh_min_DPG,distance_mh_min_DiCE,distance_l2_max_DPG,distance_l2_max_DiCE,distance_mad_max_DPG,distance_mad_max_DiCE,distance_j_max_DPG,distance_j_max_DiCE,distance_h_max_DPG,distance_h_max_DiCE,distance_l2j_max_DPG,distance_l2j_max_DiCE,distance_mh_max_DPG,distance_mh_max_DiCE,avg_nbr_changes_per_cf_DPG,avg_nbr_changes_per_cf_DiCE,avg_nbr_changes_DPG,avg_nbr_changes_DiCE,diversity_l2_DPG,diversity_l2_DiCE,diversity_mad_DPG,diversity_mad_DiCE,diversity_j_DPG,diversity_j_DiCE,diversity_h_DPG,diversity_h_DiCE,diversity_l2j_DPG,diversity_l2j_DiCE,diversity_mh_DPG,diversity_mh_DiCE,diversity_l2_min_DPG,diversity_l2_min_DiCE,diversity_mad_min_DPG,diversity_mad_min_DiCE,diversity_j_min_DPG,diversity_j_min_DiCE,diversity_h_min_DPG,diversity_h_min_DiCE,diversity_l2j_min_DPG,diversity_l2j_min_DiCE,diversity_mh_min_DPG,diversity_mh_min_DiCE,diversity_l2_max_DPG,diversity_l2_max_DiCE,diversity_mad_max_DPG,diversity_mad_max_DiCE,diversity_j_max_DPG,diversity_j_max_DiCE,diversity_h_max_DPG,diversity_h_max_DiCE,diversity_l2j_max_DPG,diversity_l2j_max_DiCE,diversity_mh_max_DPG,diversity_mh_max_DiCE,count_diversity_cont_DPG,count_diversity_cont_DiCE,count_diversity_cate_DPG,count_diversity_cate_DiCE,count_diversity_all_DPG,count_diversity_all_DiCE,accuracy_knn_sklearn_DPG,accuracy_knn_sklearn_DiCE,accuracy_knn_dist_DPG,accuracy_knn_dist_DiCE,lof_DPG,lof_DiCE,delta_DPG,delta_DiCE,delta_min_DPG,delta_min_DiCE,delta_max_DPG,delta_max_DiCE,plausibility_sum_DPG,plausibility_sum_DiCE,plausibility_max_nbr_cf_DPG,plausibility_max_nbr_cf_DiCE,plausibility_nbr_cf_DPG,plausibility_nbr_cf_DiCE,plausibility_nbr_valid_cf_DPG,plausibility_nbr_valid_cf_DiCE,plausibility_nbr_actionable_cf_DPG,plausibility_nbr_actionable_cf_DiCE,plausibility_nbr_valid_actionable_cf_DPG,plausibility_nbr_valid_actionable_cf_DiCE,runtime_DPG,runtime_DiCE
abalone,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.7006,5.4229,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6400,0.7000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2440,0.2600,0.5000,1.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.8768,0.0000,N/A,N/A,N/A,N/A,N/A,N/A,7.7989,0.0920
bank_marketing,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.9562,26.8226,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5600,0.4600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2860,0.1420,0.5000,1.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.7308,8.7886,N/A,N/A,N/A,N/A,N/A,N/A,67.0540,0.2172
customer_personality_analysis,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.0487,39.3932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4071,0.4714,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2014,0.2014,0.7000,0.7000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.0814,3.3169,N/A,N/A,N/A,N/A,N/A,N/A,19.1455,0.1457
diabetes,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.2105,10.3060,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6750,0.6750,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2950,0.2600,0.6000,0.8000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.0555,5.7512,N/A,N/A,N/A,N/A,N/A,N/A,4.1306,0.0811
ecoli,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.1420,8.4433,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8000,0.6286,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2743,0.2514,0.9000,1.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.9600,1.0170,N/A,N/A,N/A,N/A,N/A,N/A,5.5067,1.1924
education_dataset,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.3278,1.9562,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9333,1.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4000,0.4000,0.5000,0.6000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2672,0.0000,N/A,N/A,N/A,N/A,N/A,N/A,30.0753,0.0893
energy_dataset,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.2271,1.6593,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8667,1.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2400,0.4000,0.9000,0.4000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3870,0.0001,N/A,N/A,N/A,N/A,N/A,N/A,7.8119,0.0773
healthcare_dataset_stroke,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.6762,10.3093,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2000,0.5636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0873,0.2145,0.5000,0.1000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0000,0.0000,N/A,N/A,N/A,N/A,N/A,N/A,7.6380,210.1408
iris,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.8855,5.5377,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7500,0.9500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3000,0.4000,0.5000,0.5000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.8212,3.5649,N/A,N/A,N/A,N/A,N/A,N/A,3.3791,0.0834
isolet,N/A,N/A,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,1.0000,1.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,517.4484,512.9131,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5251,0.8804,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1658,0.3526,0.5000,0.6000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,699.2364,0.0000,N/A,N/A,N/A,N/A,N/A,N/A,112.2419,4.5775
