Dataset,perc_valid_cf_all_DPG,perc_valid_cf_all_DiCE,perc_actionable_cf_all_DPG,perc_actionable_cf_all_DiCE,distance_mh_DPG,distance_mh_DiCE,avg_nbr_changes_DPG,avg_nbr_changes_DiCE,count_diversity_all_DPG,count_diversity_all_DiCE,accuracy_knn_sklearn_DPG,accuracy_knn_sklearn_DiCE,plausibility_nbr_cf_DPG,plausibility_nbr_cf_DiCE,runtime_DPG,runtime_DiCE
abalone,1.0000,1.0000,1.0000,1.0000,5.7006,5.4229,0.6400,0.7000,0.2440,0.2600,0.5000,1.0000,4.8768,0.0000,7.7989,0.0920
bank_marketing,1.0000,1.0000,1.0000,1.0000,24.9562,26.8226,0.5600,0.4600,0.2860,0.1420,0.5000,1.0000,36.7308,8.7886,67.0540,0.2172
customer_personality_analysis,1.0000,1.0000,1.0000,1.0000,7.0487,39.3932,0.4071,0.4714,0.2014,0.2014,0.7000,0.7000,28.0814,3.3169,19.1455,0.1457
diabetes,1.0000,1.0000,1.0000,1.0000,3.2105,10.3060,0.6750,0.6750,0.2950,0.2600,0.6000,0.8000,6.0555,5.7512,4.1306,0.0811
ecoli,1.0000,1.0000,1.0000,1.0000,8.1420,8.4433,0.8000,0.6286,0.2743,0.2514,0.9000,1.0000,2.9600,1.0170,5.5067,1.1924
education_dataset,1.0000,1.0000,1.0000,1.0000,2.3278,1.9562,0.9333,1.0000,0.4000,0.4000,0.5000,0.6000,0.2672,0.0000,30.0753,0.0893
energy_dataset,1.0000,1.0000,1.0000,1.0000,1.2271,1.6593,0.8667,1.0000,0.2400,0.4000,0.9000,0.4000,0.3870,0.0001,7.8119,0.0773
healthcare_dataset_stroke,1.0000,1.0000,1.0000,1.0000,6.6762,10.3093,0.2000,0.5636,0.0873,0.2145,0.5000,0.1000,0.0000,0.0000,7.6380,210.1408
iris,1.0000,1.0000,1.0000,1.0000,4.8855,5.5377,0.7500,0.9500,0.3000,0.4000,0.5000,0.5000,1.8212,3.5649,3.3791,0.0834
isolet,1.0000,1.0000,1.0000,1.0000,517.4484,512.9131,0.5251,0.8804,0.1658,0.3526,0.5000,0.6000,699.2364,0.0000,112.2419,4.5775
libras_move,1.0000,1.0000,1.0000,1.0000,88.4877,107.9392,0.4844,1.0000,0.1827,0.3973,1.0000,1.0000,102.3383,0.0169,13.4045,60.4777
mammography,1.0000,1.0000,1.0000,1.0000,17.9228,13.0358,0.9333,1.0000,0.4000,0.3933,0.5000,1.0000,5.2197,0.0006,49.7068,0.1016
satimage,1.0000,1.0000,1.0000,1.0000,30.3352,31.9833,1.0000,0.8222,0.4000,0.3267,0.9000,1.0000,14.0873,0.0000,82.6899,0.4593
scene,1.0000,1.0000,1.0000,1.0000,505.1437,482.3611,0.8333,1.0000,0.2212,0.3973,0.5000,1.0000,741.8117,0.2179,40.6069,120.4745
us_crime,1.0000,1.0000,1.0000,1.0000,189.9792,190.6862,0.7580,0.9520,0.2612,0.3828,0.8000,1.0000,167.3815,0.0000,14.5344,0.4401
yeast_ml8,1.0000,1.0000,1.0000,1.0000,42.4270,390.7247,0.7573,1.0000,0.1627,0.4000,1.0000,1.0000,0.0000,0.0000,6.4594,12.0244
