class,feature,min,max
Class 0,age,25.5,78.0
Class 0,job,2.5,6.5
Class 0,loan,1.5,1.5
Class 0,month,0.5,8.5
Class 0,pdays,6.5,513.0
Class 0,contact,0.5,0.5
Class 0,default,0.5,0.5
Class 0,housing,1.5,1.5
Class 0,marital,0.5,1.5
Class 0,campaign,3.5,4.5
Class 0,duration,133.5,854.5
Class 0,poutcome,0.5,1.5
Class 0,previous,0.5,1.5
Class 0,education,0.5,6.5
Class 0,euribor3m,0.653,4.985
Class 0,day_of_week,1.5,2.5
Class 0,nr.employed,5004.55,5211.95
Class 0,emp.var.rate,-1.75,1.25
Class 0,cons.conf.idx,-48.55,-30.75
Class 0,cons.price.idx,92.405,93.858
Class 1,age,25.5,60.5
Class 1,job,2.5,
Class 1,loan,,1.5
Class 1,month,0.5,7.5
Class 1,pdays,9.5,513.0
Class 1,contact,0.5,0.5
Class 1,default,0.5,0.5
Class 1,marital,0.5,1.5
Class 1,campaign,3.5,11.5
Class 1,duration,83.0,1106.0
Class 1,poutcome,0.5,1.5
Class 1,previous,0.5,1.5
Class 1,education,2.5,5.5
Class 1,euribor3m,0.653,4.985
Class 1,day_of_week,1.5,3.5
Class 1,nr.employed,5013.1,5193.4
Class 1,emp.var.rate,-2.35,0.45
Class 1,cons.conf.idx,-48.55,-32.2
Class 1,cons.price.idx,92.405,93.858
