class,feature,min,max
Class 0,ID,10.5,11042.0
Class 0,Income,7030.0,94540.0
Class 0,Kidhome,0.5,1.5
Class 0,Recency,1.5,97.5
Class 0,Complain,0.5,0.5
Class 0,MntWines,1.5,1492.5
Class 0,Teenhome,0.5,1.5
Class 0,Education,0.5,3.5
Class 0,MntFruits,1.0,169.0
Class 0,Year_Birth,1944.0,1995.5
Class 0,Dt_Customer,11.0,655.5
Class 0,AcceptedCmp1,0.5,0.5
Class 0,AcceptedCmp2,0.5,0.5
Class 0,AcceptedCmp3,0.5,0.5
Class 0,AcceptedCmp4,0.5,0.5
Class 0,AcceptedCmp5,0.5,0.5
Class 0,MntGoldProds,0.5,236.0
Class 0,Marital_Status,1.5,6.0
Class 0,MntFishProducts,1.0,221.0
Class 0,MntMeatProducts,2.5,1275.0
Class 0,NumWebPurchases,1.5,10.0
Class 0,MntSweetProducts,0.5,183.5
Class 0,NumDealsPurchases,0.5,9.5
Class 0,NumStorePurchases,2.5,12.5
Class 0,NumWebVisitsMonth,1.5,8.5
Class 0,NumCatalogPurchases,0.5,9.5
Class 1,ID,10.5,11042.0
Class 1,Income,7030.0,110694.0
Class 1,Kidhome,0.5,1.5
Class 1,Recency,0.5,97.5
Class 1,Complain,0.5,0.5
Class 1,MntWines,1.5,1492.5
Class 1,Teenhome,0.5,0.5
Class 1,Education,0.5,3.5
Class 1,MntFruits,1.0,167.5
Class 1,Year_Birth,1944.0,1995.5
Class 1,Dt_Customer,19.0,646.5
Class 1,AcceptedCmp1,0.5,0.5
Class 1,AcceptedCmp2,0.5,0.5
Class 1,AcceptedCmp3,0.5,0.5
Class 1,AcceptedCmp4,0.5,0.5
Class 1,AcceptedCmp5,0.5,0.5
Class 1,MntGoldProds,0.5,236.0
Class 1,Marital_Status,1.5,5.5
Class 1,MntFishProducts,1.0,231.5
Class 1,MntMeatProducts,2.5,1275.0
Class 1,NumWebPurchases,1.5,10.5
Class 1,MntSweetProducts,0.5,183.5
Class 1,NumDealsPurchases,0.5,9.5
Class 1,NumStorePurchases,2.5,12.5
Class 1,NumWebVisitsMonth,0.5,13.0
Class 1,NumCatalogPurchases,0.5,9.5
