class,feature,min,max
Class 0,0,-0.967,
Class 0,1,0.216,0.681
Class 0,2,0.702,0.702
Class 0,4,0.621,0.621
Class 0,5,,0.399
Class 0,7,-0.995,
Class 0,8,0.498,
Class 0,9,0.069,
Class 0,11,,-0.681
Class 0,12,,-0.515
Class 0,14,,0.952
Class 0,15,0.592,0.933
Class 0,18,0.223,
Class 0,19,0.489,0.983
Class 0,20,0.325,0.976
Class 0,21,0.698,0.989
Class 0,27,,0.948
Class 0,28,0.951,0.951
Class 0,30,0.034,
Class 0,31,,0.927
Class 0,34,0.58,
Class 0,37,,-0.114
Class 0,39,0.353,
Class 0,41,-0.817,-0.504
Class 0,42,,-0.056
Class 0,46,0.979,0.979
Class 0,47,0.146,
Class 0,48,,0.993
Class 0,49,0.105,0.105
Class 0,51,0.888,0.888
Class 0,52,0.528,0.528
Class 0,53,,0.99
Class 0,55,,0.926
Class 0,57,-0.474,-0.474
Class 0,61,0.425,0.425
Class 0,65,-0.399,0.024
Class 0,66,,0.405
Class 0,68,0.518,0.877
Class 0,72,-0.576,
Class 0,73,0.271,0.271
Class 0,74,-0.906,0.151
Class 0,76,0.105,0.382
Class 0,77,,0.646
Class 0,79,0.854,0.854
Class 0,81,0.822,0.822
Class 0,82,0.994,0.994
Class 0,83,0.776,0.996
Class 0,84,0.619,0.619
Class 0,87,,0.944
Class 0,92,,0.647
Class 0,94,,0.983
Class 0,95,0.997,0.997
Class 0,96,-0.536,-0.121
Class 0,99,-0.526,
Class 0,100,0.897,0.897
Class 0,104,0.063,0.063
Class 0,105,0.073,
Class 0,106,0.06,0.06
Class 0,111,-0.316,0.994
Class 0,112,-0.621,-0.621
Class 0,113,,0.996
Class 0,114,0.996,0.996
Class 0,115,0.422,0.782
Class 0,116,0.906,0.973
Class 0,117,0.659,0.705
Class 0,119,0.842,0.981
Class 0,120,,0.913
Class 0,122,0.987,0.988
Class 0,124,-0.565,0.757
Class 0,125,,0.469
Class 0,128,-0.985,
Class 0,129,0.081,0.081
Class 0,130,,0.211
Class 0,131,0.274,0.274
Class 0,134,0.858,0.858
Class 0,135,-0.949,-0.949
