class,feature,min,max
Class 0,0,,0.608
Class 0,4,,0.569
Class 0,5,,0.663
Class 0,6,,0.607
Class 0,7,0.689,0.689
Class 0,11,0.397,
Class 0,13,0.441,
Class 0,15,0.419,
Class 0,17,0.503,0.67
Class 0,18,0.363,
Class 0,20,,0.867
Class 0,21,0.694,
Class 0,22,0.138,
Class 0,23,,0.472
Class 0,24,0.326,0.326
Class 0,25,0.688,0.92
Class 0,26,0.31,0.315
Class 0,27,0.572,0.645
Class 0,28,0.355,
Class 0,29,0.566,0.595
Class 0,30,0.245,0.245
Class 0,31,0.64,0.678
Class 0,32,0.16,0.324
Class 0,33,0.688,0.713
Class 0,35,0.626,0.626
Class 0,36,0.163,
Class 0,38,0.167,
Class 0,39,0.503,
Class 0,41,0.439,0.501
Class 0,42,,0.604
Class 0,43,0.49,0.49
Class 0,46,,0.594
Class 0,48,0.617,0.617
Class 0,50,0.163,0.818
Class 0,52,0.186,0.756
Class 0,57,0.303,0.457
Class 0,59,0.292,
Class 0,63,0.508,0.508
Class 0,68,0.453,
Class 0,71,0.49,0.74
Class 0,72,0.267,0.267
Class 0,73,0.587,0.587
Class 0,74,0.298,0.298
Class 0,75,0.58,0.686
Class 0,76,0.328,0.328
Class 0,79,0.639,0.639
Class 0,80,0.442,
Class 0,85,0.432,
Class 1,0,0.608,
Class 1,4,0.186,
Class 1,5,0.663,
Class 1,6,0.567,0.607
Class 1,7,,0.689
Class 1,11,,0.397
Class 1,13,,0.441
Class 1,15,,0.419
Class 1,17,0.503,0.67
Class 1,18,,0.363
Class 1,20,0.867,
Class 1,21,,0.694
Class 1,22,,0.138
Class 1,23,0.472,
Class 1,24,,0.326
Class 1,25,0.92,0.92
Class 1,26,0.315,0.315
Class 1,27,0.572,0.645
Class 1,28,0.355,0.355
Class 1,29,0.566,
Class 1,31,0.566,
Class 1,32,0.3,0.324
Class 1,33,0.713,
Class 1,35,,0.626
Class 1,36,,0.163
Class 1,38,,0.167
Class 1,39,0.503,0.531
Class 1,41,0.439,0.501
Class 1,42,0.604,
Class 1,43,,0.49
Class 1,46,0.594,
Class 1,48,0.617,
Class 1,50,0.163,
Class 1,52,0.756,0.756
Class 1,57,0.306,0.457
Class 1,59,,0.292
Class 1,63,0.508,0.508
Class 1,68,,0.453
Class 1,71,0.49,
Class 1,72,,0.267
Class 1,73,0.587,
Class 1,74,,0.298
Class 1,75,0.58,
Class 1,76,,0.367
Class 1,80,,0.73
Class 1,85,0.432,0.432
