class,feature,min,max
Class 0,0,48.5,92.5
Class 0,1,54.5,119.0
Class 0,2,69.0,119.5
Class 0,3,58.5,115.5
Class 0,4,49.0,92.5
Class 0,5,46.0,119.0
Class 0,6,74.5,120.0
Class 0,7,62.5,100.0
Class 0,8,59.5,90.5
Class 0,9,49.5,115.5
Class 0,10,68.5,121.0
Class 0,11,60.0,105.0
Class 0,12,54.5,88.5
Class 0,13,44.5,119.0
Class 0,14,68.5,119.5
Class 0,15,60.0,90.5
Class 0,16,65.0,88.5
Class 0,17,66.5,112.5
Class 0,18,68.5,121.0
Class 0,19,60.0,93.0
Class 0,20,63.5,90.0
Class 0,21,54.5,112.5
Class 0,22,68.5,121.0
Class 0,23,59.5,90.5
Class 0,24,51.0,88.5
Class 0,25,63.0,119.0
Class 0,26,67.5,117.0
Class 0,27,56.0,95.5
Class 0,28,49.0,91.0
Class 0,29,35.5,110.0
Class 0,30,66.5,121.0
Class 0,31,56.0,110.5
Class 0,32,49.5,91.0
Class 0,33,50.0,110.5
Class 0,34,76.5,118.5
Class 0,35,57.5,114.5
Class 1,0,48.5,94.0
Class 1,1,54.5,119.0
Class 1,2,69.0,122.0
Class 1,3,60.5,115.5
Class 1,4,52.5,92.5
Class 1,5,55.0,119.0
Class 1,6,74.5,119.5
Class 1,7,58.5,100.0
Class 1,8,58.5,91.0
Class 1,9,60.0,113.0
Class 1,10,68.5,121.0
Class 1,11,60.0,122.5
Class 1,12,54.5,91.0
Class 1,13,44.5,119.0
Class 1,14,69.5,118.5
Class 1,15,60.5,90.5
Class 1,16,59.5,89.0
Class 1,17,66.5,114.5
Class 1,18,69.0,121.0
Class 1,19,64.5,93.0
Class 1,20,63.5,90.0
Class 1,21,54.5,109.5
Class 1,22,69.0,116.5
Class 1,23,59.5,90.5
Class 1,24,51.0,90.0
Class 1,25,55.0,119.0
Class 1,26,72.5,117.0
Class 1,27,57.5,94.5
Class 1,28,49.0,87.5
Class 1,29,35.5,106.5
Class 1,30,66.5,123.0
Class 1,31,57.5,110.5
Class 1,32,49.5,91.0
Class 1,33,50.0,110.0
Class 1,34,75.0,121.0
Class 1,35,57.5,106.0
