class,feature,min,max
Class 0,0,0.145,0.26
Class 0,1,0.415,0.535
Class 0,2,0.065,0.445
Class 0,3,0.025,0.875
Class 0,5,0.025,0.245
Class 0,6,0.51,0.51
Class 0,7,0.345,0.345
Class 0,8,0.54,0.54
Class 0,9,0.335,0.56
Class 0,10,0.045,0.845
Class 0,11,0.985,0.985
Class 0,12,0.125,
Class 0,13,0.445,0.535
Class 0,14,0.245,0.86
Class 0,15,0.165,0.29
Class 0,16,0.285,0.7
Class 0,18,0.255,0.585
Class 0,19,0.145,0.99
Class 0,20,0.225,0.225
Class 0,21,,0.395
Class 0,22,0.97,0.97
Class 0,23,0.085,0.085
Class 0,24,0.355,0.855
Class 0,25,0.14,0.37
Class 0,26,,0.745
Class 0,27,0.22,0.225
Class 0,28,0.23,0.23
Class 0,29,0.475,0.625
Class 0,30,0.195,0.74
Class 0,31,0.075,0.895
Class 0,32,0.505,0.625
Class 0,33,0.495,0.635
Class 0,34,0.2,0.42
Class 0,35,0.505,0.505
Class 0,36,0.125,0.555
Class 0,37,0.305,0.995
Class 0,38,0.48,0.775
Class 0,39,0.285,0.505
Class 0,40,0.645,0.7
Class 0,41,0.61,0.8
Class 0,43,0.315,0.595
Class 0,44,0.285,0.635
Class 0,45,0.445,0.975
Class 0,46,0.195,0.585
Class 0,47,0.215,0.215
Class 0,49,0.005,0.095
Class 0,50,0.235,0.485
Class 0,51,0.075,0.075
Class 0,52,0.395,0.395
Class 0,53,0.52,0.52
Class 0,54,0.355,0.355
Class 0,55,0.525,0.655
Class 0,56,,0.285
Class 0,57,0.025,0.025
Class 0,58,0.175,
Class 0,60,0.395,0.935
Class 0,61,0.105,0.105
Class 0,62,0.135,0.465
Class 0,63,0.155,0.345
Class 0,66,0.045,
Class 0,67,0.435,0.505
Class 0,68,0.055,0.375
Class 0,69,0.435,0.85
Class 0,71,0.015,0.425
Class 0,72,0.38,0.905
Class 0,73,0.07,0.395
Class 0,74,0.225,0.7
Class 0,75,0.175,0.455
Class 0,76,0.33,0.45
Class 0,77,0.545,0.545
Class 0,78,0.175,0.885
Class 0,79,0.065,
Class 0,80,0.045,0.045
Class 0,81,0.125,0.195
Class 0,84,0.24,0.295
Class 0,85,0.225,0.225
Class 0,86,,0.795
Class 0,87,0.515,0.515
Class 0,88,0.34,0.435
Class 0,89,0.115,0.115
Class 0,90,0.035,0.25
Class 0,91,0.055,0.7
Class 0,92,0.49,0.515
Class 0,93,0.4,0.475
Class 0,95,0.795,0.795
Class 0,96,0.035,0.155
Class 0,97,0.125,0.885
Class 0,98,0.035,0.075
Class 0,99,0.26,0.525
Class 1,0,0.26,0.26
Class 1,1,0.535,0.535
Class 1,2,0.065,0.445
Class 1,3,0.025,0.875
Class 1,5,0.025,0.025
Class 1,7,0.465,0.465
Class 1,8,,0.54
Class 1,9,0.335,
Class 1,10,0.045,0.975
Class 1,11,0.985,0.985
Class 1,12,0.125,0.125
Class 1,13,0.525,0.525
Class 1,14,0.245,0.86
Class 1,15,,0.185
Class 1,16,0.285,0.41
Class 1,18,,0.585
Class 1,19,0.175,0.315
Class 1,20,0.225,
Class 1,21,0.285,
Class 1,23,,0.145
Class 1,24,0.77,
Class 1,25,0.225,0.37
Class 1,26,0.185,
Class 1,27,0.22,0.225
Class 1,28,0.23,
Class 1,29,0.475,0.615
Class 1,30,0.53,0.74
Class 1,31,,0.345
Class 1,32,0.625,0.625
Class 1,33,0.505,0.635
Class 1,34,,0.275
Class 1,36,0.125,0.555
Class 1,37,0.335,0.455
Class 1,38,0.56,0.775
Class 1,39,0.285,0.285
Class 1,40,0.555,0.645
Class 1,41,0.61,0.8
Class 1,43,0.315,0.595
Class 1,44,0.285,0.635
Class 1,45,0.445,0.555
Class 1,46,0.195,0.585
Class 1,47,0.215,0.22
Class 1,49,0.025,0.095
Class 1,50,0.315,0.485
Class 1,51,0.075,0.15
Class 1,52,,0.395
Class 1,53,,0.7
Class 1,54,0.355,
Class 1,55,0.295,
Class 1,56,0.285,
Class 1,57,0.025,0.025
Class 1,58,,0.175
Class 1,60,0.375,0.935
Class 1,61,0.105,
Class 1,62,0.135,0.465
Class 1,63,0.155,0.345
Class 1,65,0.425,0.425
Class 1,66,0.045,0.045
Class 1,67,,0.505
Class 1,68,0.175,0.375
Class 1,69,0.71,0.85
Class 1,71,0.075,0.425
Class 1,72,0.47,0.715
Class 1,73,0.07,0.07
Class 1,74,0.225,0.7
Class 1,75,0.265,0.175
Class 1,76,0.33,0.45
Class 1,77,0.545,
Class 1,78,0.175,
Class 1,79,,0.065
Class 1,81,0.195,
Class 1,84,0.245,0.295
Class 1,85,,0.3
Class 1,86,0.795,0.795
Class 1,87,0.515,0.515
Class 1,88,0.435,0.34
Class 1,90,0.035,0.805
Class 1,91,0.055,0.7
Class 1,92,0.365,0.55
Class 1,93,,0.4
Class 1,95,0.705,0.795
Class 1,96,0.035,0.035
Class 1,98,0.035,0.27
Class 1,99,,0.525
