class,feature,min,max
Class 0,5,-0.187,-0.187
Class 0,6,,0.171
Class 0,11,0.134,0.134
Class 0,28,,0.073
Class 0,29,,0.227
Class 0,30,0.064,0.064
Class 0,34,-0.004,-0.004
Class 0,42,0.029,0.029
Class 0,46,-0.139,-0.139
Class 0,51,0.047,0.047
Class 0,57,-0.081,-0.081
Class 0,69,0.146,0.146
Class 0,73,0.214,0.214
Class 0,78,-0.013,-0.013
Class 0,81,-0.052,
Class 0,85,0.019,0.019
Class 0,87,-0.032,-0.032
Class 0,88,,0.408
Class 0,97,-0.022,-0.022
Class 0,101,-0.048,-0.048
Class 0,102,-0.108,-0.108
Class 1,5,-0.187,0.02
Class 1,6,0.171,
Class 1,28,0.073,0.073
Class 1,29,0.227,
Class 1,42,,0.029
Class 1,51,0.047,
Class 1,69,0.146,
Class 1,81,,-0.052
Class 1,88,0.408,0.408
Class 1,101,-0.048,
