Dataset,accuracy_knn_sklearn,avg_nbr_changes,count_diversity_all,distance_mh,perc_actionable_cf_all,perc_valid_cf_all,plausibility_nbr_cf,runtime
abalone,-1.0,-0.11636927851047311,-0.06742520016856306,0.0007973064421614022,0.0,0.0,0.006576106758174084,0.038058239194717305
bank_marketing,-1.0,0.19394879751745545,0.6068268015170669,-0.005358634294742694,0.0,0.0,0.03767857821896569,0.3300537078993475
customer_personality_analysis,0.0,-0.12470907680372374,0.0,-0.09286452365318519,0.0,0.0,0.03339361790780883,0.09382487550789419
diabetes,-0.40000000000000013,0.0,0.14749262536873145,-0.020371940440605838,0.0,0.0,0.0004103324488419408,0.019997254358952072
ecoli,-0.19999999999999996,0.3324282389449185,0.09650231774125569,-0.0008650645697631689,0.0,0.0,0.002620032691751199,0.021304890599043568
education_dataset,-0.19999999999999996,-0.12936384794414268,0.0,0.0010669033990175646,0.0,0.0,0.0003603050618815853,0.14807696486172042
energy_dataset,1.0,-0.258533747090768,-0.6742520016856302,-0.0012408924893847991,0.0,0.0,0.0005217141783008434,0.038195027426781256
healthcare_dataset_stroke,0.8,-0.7051978277734677,-0.5360303413400758,-0.010431019211438953,0.0,0.0,0.0,-1.0
iris,0.0,-0.38789759503491067,-0.4214075010535189,-0.0018725360517740995,0.0,0.0,-0.002351287187136678,0.01627483669361609
isolet,-0.19999999999999996,-0.6891000775795189,-0.7871892119679731,0.013021332038655457,0.0,0.0,0.9428832873198238,0.5316686979143004
libras_move,0.0,-1.0,-0.9043404972608511,-0.05584733979007039,0.0,0.0,0.13797499385782352,-0.2324570326928813
mammography,-1.0,-0.12936384794414268,0.02823430257058592,0.014031100406347786,0.0,0.0,0.00703768019635547,0.24496056350825768
satimage,-0.19999999999999996,0.3448409619860356,0.30889169827222934,-0.004731871614426394,0.0,0.0,0.018995978661094527,0.40607142222230996
scene,-1.0,-0.32331264546159805,-0.7420986093552464,0.06541128465677495,0.0,0.0,1.0,-0.3944024477686235
us_crime,-0.3999999999999999,-0.3762606671838633,-0.5124315212810787,-0.002029872720951135,0.0,0.0,0.22570509624001708,0.06960051910393338
yeast_ml8,0.0,-0.47071373157486424,-1.0,-1.0,0.0,0.0,0.0,-0.027481101495880553
