Metric,Goal,DPG Wins,DiCE Wins,DPG Win Rate,Total Comparisons,Better
nbr_cf,maximize,0,0,N/A,0,Tie
nbr_valid_cf,maximize,0,0,N/A,0,Tie
perc_valid_cf,maximize,0,0,N/A,0,Tie
perc_valid_cf_all,maximize,0,0,N/A,0,Tie
nbr_actionable_cf,maximize,0,0,N/A,0,Tie
perc_actionable_cf,maximize,0,0,N/A,0,Tie
perc_actionable_cf_all,maximize,0,0,N/A,0,Tie
nbr_valid_actionable_cf,maximize,0,0,N/A,0,Tie
perc_valid_actionable_cf,maximize,0,0,N/A,0,Tie
perc_valid_actionable_cf_all,maximize,0,0,N/A,0,Tie
avg_nbr_violations_per_cf,minimize,0,0,N/A,0,Tie
avg_nbr_violations,minimize,0,0,N/A,0,Tie
distance_l2,minimize,0,0,N/A,0,Tie
distance_mad,minimize,0,0,N/A,0,Tie
distance_j,minimize,0,0,N/A,0,Tie
distance_h,minimize,0,0,N/A,0,Tie
distance_l2j,minimize,0,0,N/A,0,Tie
distance_mh,minimize,11,5,68.8%,16,DPG
distance_l2_min,minimize,0,0,N/A,0,Tie
distance_mad_min,minimize,0,0,N/A,0,Tie
distance_j_min,minimize,0,0,N/A,0,Tie
distance_h_min,minimize,0,0,N/A,0,Tie
distance_l2j_min,minimize,0,0,N/A,0,Tie
distance_mh_min,minimize,0,0,N/A,0,Tie
distance_l2_max,minimize,0,0,N/A,0,Tie
distance_mad_max,minimize,0,0,N/A,0,Tie
distance_j_max,minimize,0,0,N/A,0,Tie
distance_h_max,minimize,0,0,N/A,0,Tie
distance_l2j_max,minimize,0,0,N/A,0,Tie
distance_mh_max,minimize,0,0,N/A,0,Tie
avg_nbr_changes_per_cf,minimize,0,0,N/A,0,Tie
avg_nbr_changes,minimize,12,3,80.0%,15,DPG
diversity_l2,maximize,0,0,N/A,0,Tie
diversity_mad,maximize,0,0,N/A,0,Tie
diversity_j,maximize,0,0,N/A,0,Tie
diversity_h,maximize,0,0,N/A,0,Tie
diversity_l2j,maximize,0,0,N/A,0,Tie
diversity_mh,maximize,0,0,N/A,0,Tie
diversity_l2_min,maximize,0,0,N/A,0,Tie
diversity_mad_min,maximize,0,0,N/A,0,Tie
diversity_j_min,maximize,0,0,N/A,0,Tie
diversity_h_min,maximize,0,0,N/A,0,Tie
diversity_l2j_min,maximize,0,0,N/A,0,Tie
diversity_mh_min,maximize,0,0,N/A,0,Tie
diversity_l2_max,maximize,0,0,N/A,0,Tie
diversity_mad_max,maximize,0,0,N/A,0,Tie
diversity_j_max,maximize,0,0,N/A,0,Tie
diversity_h_max,maximize,0,0,N/A,0,Tie
diversity_l2j_max,maximize,0,0,N/A,0,Tie
diversity_mh_max,maximize,0,0,N/A,0,Tie
count_diversity_cont,maximize,0,0,N/A,0,Tie
count_diversity_cate,maximize,0,0,N/A,0,Tie
count_diversity_all,maximize,5,9,35.7%,14,DiCE
accuracy_knn_sklearn,maximize,2,10,16.7%,12,DiCE
accuracy_knn_dist,maximize,0,0,N/A,0,Tie
lof,minimize,0,0,N/A,0,Tie
delta,maximize,0,0,N/A,0,Tie
delta_min,maximize,0,0,N/A,0,Tie
delta_max,maximize,0,0,N/A,0,Tie
plausibility_sum,minimize,0,0,N/A,0,Tie
plausibility_max_nbr_cf,minimize,0,0,N/A,0,Tie
plausibility_nbr_cf,minimize,1,13,7.1%,14,DiCE
plausibility_nbr_valid_cf,minimize,0,0,N/A,0,Tie
plausibility_nbr_actionable_cf,minimize,0,0,N/A,0,Tie
plausibility_nbr_valid_actionable_cf,minimize,0,0,N/A,0,Tie
runtime,minimize,4,12,25.0%,16,DiCE
