METRICS PROFILING RESULTS - Sorted by Total Time (cumulative)
================================================================================

         1645824 function calls (1598299 primitive calls) in 2.390 seconds

   Ordered by: cumulative time
   List reduced from 962 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      105    0.005    0.000    0.636    0.006 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:1276(_update_ticks)
      315    0.002    0.000    0.574    0.002 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:1585(_get_tick)
       35    0.000    0.000    0.518    0.015 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/pyplot.py:1621(subplots)
       35    0.000    0.000    0.487    0.014 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/figure.py:785(subplots)
       35    0.001    0.000    0.485    0.014 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/gridspec.py:249(subplots)
       35    0.001    0.000    0.483    0.014 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/figure.py:644(add_subplot)
       35    0.003    0.000    0.481    0.014 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:615(__init__)
      105    0.001    0.000    0.480    0.005 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:1644(get_major_ticks)
      245    0.005    0.000    0.465    0.002 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:428(__init__)
       35    0.000    0.000    0.373    0.011 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:1445(clear)
       35    0.003    0.000    0.373    0.011 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:1313(__clear)
      315    0.016    0.000    0.357    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:59(__init__)
     5390    0.035    0.000    0.266    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:1188(_update_props)
     4375    0.003    0.000    0.232    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:1226(_internal_update)
     3290    0.003    0.000    0.218    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:146(<lambda>)
     3290    0.004    0.000    0.214    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:1237(set)
      140    0.000    0.000    0.213    0.002 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:534(__get__)
      945    0.023    0.000    0.158    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/lines.py:301(__init__)
       70    0.000    0.000    0.149    0.002 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:1115(set_clip_path)
    12495    0.007    0.000    0.148    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:414(pchanged)
      280    0.002    0.000    0.147    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:946(set_tick_params)
      910    0.003    0.000    0.146    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/text.py:104(__init__)
    12600    0.124    0.000    0.142    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/cbook.py:348(process)
       70    0.000    0.000    0.130    0.002 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:3318(grid)
      140    0.001    0.000    0.129    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:1696(grid)
     2100    0.002    0.000    0.128    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/markers.py:220(__init__)
