PROFILING RESULTS - Sorted by Total Time (cumulative)
================================================================================

         50025960 function calls (49158753 primitive calls) in 40.345 seconds

   Ordered by: cumulative time
   List reduced from 2736 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.001    0.000   19.225    0.377 /home/rafael/gitgud/CounterFactualDPG/CounterFactualModel.py:449(generate_counterfactual)
       51    0.727    0.014   19.107    0.375 /home/rafael/gitgud/CounterFactualDPG/CounterFactualModel.py:345(genetic_algorithm)
    31840    0.181    0.000   17.337    0.001 /home/rafael/gitgud/CounterFactualDPG/CounterFactualModel.py:294(calculate_fitness)
    31840    0.116    0.000   15.702    0.000 /home/rafael/gitgud/CounterFactualDPG/CounterFactualModel.py:61(check_validity)
    28384    0.100    0.000   15.574    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/ensemble/_forest.py:882(predict)
    28444    0.510    0.000   15.439    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/ensemble/_forest.py:921(predict_proba)
    28444    0.064    0.000    7.401    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/utils/parallel.py:54(__call__)
    28444    0.173    0.000    7.294    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/joblib/parallel.py:1969(__call__)
   142220    0.226    0.000    6.615    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/joblib/parallel.py:1888(_get_sequential_output)
    835/3    0.004    0.000    5.531    1.844 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/text.py:73(_get_text_metrics_with_cache_impl)
    85332    0.466    0.000    5.081    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/utils/parallel.py:131(__call__)
     2550    0.074    0.000    4.690    0.002 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:1276(_update_ticks)
    28444    0.094    0.000    4.285    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/ensemble/_forest.py:628(_validate_X_predict)
     3375    0.012    0.000    3.666    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:1585(_get_tick)
      261    0.003    0.000    3.645    0.014 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/figure.py:644(add_subplot)
      261    0.013    0.000    3.634    0.014 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:615(__init__)
       36    0.001    0.000    3.604    0.100 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/seaborn/regression.py:752(regplot)
       36    0.001    0.000    3.568    0.099 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/seaborn/regression.py:356(plot)
     3000    0.010    0.000    3.555    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:1644(get_major_ticks)
       36    0.001    0.000    3.457    0.096 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/seaborn/regression.py:426(lineplot)
       36    0.001    0.000    3.349    0.093 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/seaborn/regression.py:196(fit_regression)
    28465    0.140    0.000    3.305    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/utils/validation.py:2845(validate_data)
